[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 63 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 67 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 71 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 75 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 79 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 100 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 101 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 130 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 131 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 132 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 133 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined index: aid 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 179 行.
[ 2016-06-17T14:41:16+08:00 ] /config/index.php/Category/edit/id/1170/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 212 行.
[ 2016-06-17T14:41:30+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2016-06-17T14:41:31+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.004000s ]
[ 2016-06-17T14:41:31+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.005000s ]
[ 2016-06-17T14:41:31+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: aid CategoryAction.class.php 第 15 行.
[ 2016-06-17T14:41:31+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: act CategoryAction.class.php 第 16 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `id` = '1528' ) LIMIT 1  [ RunTime:0.001000s ]
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '36' ) ORDER BY ordernum desc [ RunTime:0.001000s ]
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 3 ) AND ( `is_publish` = 1 ) ORDER BY is_default desc,ordernum desc [ RunTime:0.001000s ]
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 14 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 15 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 41 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 45 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 63 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 67 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 71 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 75 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 79 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 100 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 101 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 130 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 131 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 132 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 133 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: aid 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 179 行.
[ 2016-06-17T14:41:32+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 212 行.
[ 2016-06-17T14:41:40+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2016-06-17T14:41:41+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.005000s ]
[ 2016-06-17T14:41:41+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.006001s ]
[ 2016-06-17T14:41:41+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined index: aid CategoryAction.class.php 第 15 行.
[ 2016-06-17T14:41:41+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined index: act CategoryAction.class.php 第 16 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `id` = '1172' ) LIMIT 1  [ RunTime:0.001000s ]
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = null ) ORDER BY ordernum desc [ RunTime:0.001000s ]
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 3 ) AND ( `is_publish` = 1 ) ORDER BY is_default desc,ordernum desc [ RunTime:0.001000s ]
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 14 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 15 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 41 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 45 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 63 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 67 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 71 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 75 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 79 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 100 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 101 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 130 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 131 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 132 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 133 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined index: aid 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 179 行.
[ 2016-06-17T14:41:42+08:00 ] /config/index.php/Category/edit/id/1172/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 212 行.
[ 2016-06-17T14:41:54+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2016-06-17T14:41:55+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.005000s ]
[ 2016-06-17T14:41:55+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.006001s ]
[ 2016-06-17T14:41:55+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: aid CategoryAction.class.php 第 15 行.
[ 2016-06-17T14:41:55+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: act CategoryAction.class.php 第 16 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `id` = '1528' ) LIMIT 1  [ RunTime:0.001001s ]
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '36' ) ORDER BY ordernum desc [ RunTime:0.002000s ]
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = 3 ) AND ( `is_publish` = 1 ) ORDER BY is_default desc,ordernum desc [ RunTime:0.000000s ]
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 14 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 15 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 41 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 45 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 63 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 67 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 71 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 75 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 79 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 100 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 101 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 130 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 131 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 132 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 133 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined index: aid 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 179 行.
[ 2016-06-17T14:41:56+08:00 ] /config/index.php/Category/edit/id/1528/aid/ | NOTIC: [8] Undefined variable: obj 5c3c2ff56e16b6b6ee1bdeb1ff3f266a.php 第 212 行.
